Country,year_int,REER,ccode,NOMLRATE,log_RPUBINV,log_RGDP,growth_RGDP,UNRATE,PDEBT,INVGDP,OUTPUTGAP,PRIMARYBAL,PUBINVRATIO,forecasterror,INVGDP_diff,Country Name,CC_EST,GE_EST,PV_EST,RL_EST,RQ_EST,VA_EST
Slovakia,2006,82.17775,SVK,4.41,0.841272692,4.097604908,0.085495207,13.4,31.4339,22.52272328,2.0119603,-2.1059801,3.852948,0.246374013,-1.05559154,Slovak Republic,0.375256955623627,0.828100264072418,0.784178674221039,0.488393604755402,1.08478224277496,0.93112325668335
Slovakia,2008,97.63722,SVK,4.72,0.889532261,4.252573652,0.052245184,9.5,28.613,22.16717071,5.8606215,-1.1880686,3.4629755,0.051343499,-0.35555257,Slovak Republic,0.312199145555496,0.849099040031433,1.0821361541748,0.527956008911133,1.07832753658295,0.935453057289124
Slovakia,2009,104.42812,SVK,4.71,0.968485184,4.19594665,-0.056627002,12.0,36.3838,17.73413827,-2.8619049,-6.7260801,3.965802,0.533863521,-4.43303244,Slovak Republic,0.265569657087326,0.861253201961517,0.920496821403503,0.534014344215393,1.04804372787476,0.876306593418121
Slovakia,2010,100.02611,SVK,3.87,0.953065654,4.261646583,0.065699933,14.3,40.6375,18.19295849,0.3233751,-6.1577215,3.6568019,0.376882844,0.45882022,Slovak Republic,0.248165294528008,0.781369268894196,1.05331683158875,0.563034415245056,0.999186158180237,0.910946249961853
Slovakia,2011,101.10839,SVK,4.45,1.004201116,4.286947897,0.025301314,13.5,43.2502,20.18900034,-1.1681471,-2.8102935,3.7525026,0.484800031,1.99604185,Slovak Republic,0.229635804891586,0.776584029197693,0.974757313728333,0.597754776477814,0.999639213085175,0.965979039669037
Slovakia,2012,101.17534,SVK,4.55,0.882348323,4.302518051,0.015570154,13.9,51.6741,17.77975955,-2.0055608,-2.5854629,3.2706879,-0.476881748,-2.40924079,Slovak Republic,0.0692804977297783,0.781547546386719,1.08840095996857,0.485911756753922,1.04090666770935,0.973016917705536
Slovakia,2013,102.16231,SVK,3.19,0.926021384,4.309527157,0.007009106,14.1,54.5827,17.79821737,-3.2702318,-0.9611125,3.3928315,0.472345262,0.01845782,Slovak Republic,0.0489006824791431,0.725380659103394,1.11951816082001,0.463767737150192,0.927780389785767,0.959501922130585
Slovakia,2014,102.38872,SVK,2.07,1.148016937,4.336246143,0.026718986,13.1,53.3474,17.05164291,-2.6522084,-1.3198402,4.1244842,0.883971631,-0.74657446,Slovak Republic,0.121957376599312,0.793422877788544,1.03912115097046,0.485068291425705,0.885451793670654,0.959563910961151
Slovakia,2015,100.0,SVK,0.89,1.646444638,4.386719357,0.050473214,11.5,51.5244,17.86499254,-0.5314973,-1.0292834,6.4552603,2.16387608,0.81334963,Slovak Republic,0.109913036227226,0.736977159976959,0.865759432315826,0.466484010219574,0.772586047649384,0.965466558933258
Slovakia,2016,100.52414,SVK,0.54,1.027374388,4.406010705,0.019291349,9.6,52.0467,18.2507204,-0.6893039,-0.9111562,3.4093929,0.1581305,0.38572786,Slovak Republic,0.152081429958344,0.793482840061188,0.708230555057526,0.597048819065094,0.876968383789062,0.961435556411743
Slovakia,2017,100.47552,SVK,0.92,1.045398702,4.434352661,0.028341955,8.1,51.2856,17.89912712,0.1479172,0.45174,3.3743968,-0.0294046,-0.35159328,Slovak Republic,0.0974162742495537,0.666439116001129,0.902731478214264,0.513248085975647,0.812015295028687,0.912068963050842
Slovakia,2018,102.52534,SVK,0.89,1.186420581,4.47417068,0.039818019,6.5,49.1885,17.61096815,1.7575982,0.3340871,3.7337782,0.1445146,-0.28815897,Slovak Republic,0.230296522378922,0.581321477890015,0.736685812473297,0.472869634628296,0.798312306404114,0.847067475318909
Slovakia,2019,103.12181,SVK,0.25,1.167959228,4.496674236,0.022503556,5.7,47.9184,18.09735847,1.6033306,0.0271821,3.5839136,0.2233029,0.48639032,Slovak Republic,0.187729358673096,0.54965877532959,0.667368829250336,0.500033497810364,0.997581124305725,0.861327171325684
Slovakia,2020,105.752,SVK,-0.04,1.089614155,4.470479067,-0.026195169,6.7,58.4082,16.37915789,-2.3714574,-4.1246564,3.4018026,-0.4523429,-1.71820058,Slovak Republic,0.415226489305496,0.502145826816559,0.633981704711914,0.655498802661896,0.774733364582062,0.879534602165222
Slovakia,2021,105.70462,SVK,-0.08,1.021766262,4.526168775,0.055689708,6.8,60.167,16.57857003,1.5650593,-4.0095131,3.0064728,-0.568191,0.19941214,Slovak Republic,0.210813537240028,0.490655839443207,0.617919027805328,0.678475677967072,0.866957545280457,0.904362618923187
Slovakia,2022,107.08794,SVK,2.07,1.045676763,4.530655828,0.004487053,6.1,57.6799,16.52098401,0.7529803,-0.6347616,3.0654409,-0.432833,-0.05758602,Slovak Republic,0.213295862078667,0.378134667873383,0.445335745811462,0.620998740196228,0.850252985954285,0.889783501625061
Slovakia,2023,113.66923,SVK,3.65,1.208772312,4.544344867,0.013689039,5.8,56.0514,18.78612646,-0.6647191,-4.0444558,3.5594204,-1.2791287,2.26514245,Slovak Republic,0.292565286159515,0.229512304067612,0.573219299316406,0.603365182876587,0.601919114589691,0.912476003170013
Slovenia,2000,97.69188,SVN,,0.079833778,3.365352864,0.034381272,6.8,26.0854,23.85056043,0.4258412,-1.3756732,3.7421151,,,Slovenia,0.827235400676727,0.674126327037811,0.886789321899414,0.967030942440033,0.672722458839417,1.10754191875458
Slovenia,2001,97.19846,SVN,,0.167287002,3.393247091,0.027894227,6.2,26.324,22.6438423,-0.0882044,-2.2335458,3.9717618,,-1.20671813,,0.8457972461527045,1.0004783489487388,0.946194499731064,0.9851787875999105,0.7569385441866788,1.0280658765272657
Slovenia,2002,99.09945,SVN,8.72,0.150696311,3.425546044,0.032298952,6.3,27.6823,21.08188424,0.0868396,-0.2764621,3.7822541,,-1.56195806,Slovenia,0.773913145065308,0.789837002754211,1.30383324623108,0.883090198040009,0.851863026618958,1.13046002388
Slovenia,2003,102.14746,SVN,6.4,0.1878624,3.45699617,0.031450126,6.7,27.0275,21.46091171,0.1327887,-0.7055785,3.8039371,,0.37902747,Slovenia,0.898586511611938,0.897875249385834,1.18649446964264,0.849399566650391,0.881739914417267,1.12496137619019
Slovenia,2004,101.67778,SVN,4.68,0.279633196,3.50145358,0.04445741,6.3,27.1005,22.22399293,1.4304958,-0.2862417,3.9882382,0.691080851,0.76308122,Slovenia,1.01579594612122,0.90135532617569,1.08161342144012,0.913738012313843,0.844685614109039,1.11238861083984
Slovenia,2005,99.86783,SVN,3.81,0.276341912,3.539270816,0.037817236,6.5,26.5885,22.95653864,2.2422008,0.184946,3.8276135,-0.199388826,0.73254571,Slovenia,0.902103662490845,0.885157346725464,1.09281122684479,0.883541584014893,0.88319343328476,1.09229040145874
Slovenia,2006,99.18662,SVN,3.85,0.459921107,3.59667851,0.057407694,6.0,26.2075,23.55916917,4.72401,0.1407918,4.3423368,-0.13400992,0.60263053,Slovenia,1.02647280693054,0.954627931118011,1.08572900295258,0.899841070175171,0.794790148735046,1.06961452960968
Slovenia,2008,102.01245,SVN,4.61,0.654147545,3.698803795,0.0331661,4.4,21.892,24.82496314,7.8265277,-0.3244392,4.7612676,0.641212357,1.26579397,Slovenia,0.93939745426178,1.11381042003632,1.14937436580658,1.00784969329834,0.847147285938263,1.0173647403717
Slovenia,2009,104.36345,SVN,4.38,0.649119502,3.619862654,-0.078941141,5.9,34.9355,19.29004322,-2.7049906,-4.5349822,5.1265198,0.177104185,-5.53491992,Slovenia,1.05151796340942,1.14303851127625,0.936905801296234,1.06890439987183,0.913787245750427,1.05512344837189
Slovenia,2010,101.64966,SVN,3.83,0.634808107,3.630922692,0.011060039,7.3,38.6017,16.22350473,-2.9313803,-3.900193,4.9980888,0.074777455,-3.06653849,Slovenia,0.917391359806061,1.01478588581085,0.866508841514587,1.00198233127594,0.75935560464859,1.04863810539246
Slovenia,2011,100.88235,SVN,4.97,0.440928524,3.637455624,0.006532932,8.2,46.8069,15.99444405,-3.1821526,-4.7713283,4.0904013,-0.296233603,-0.22906068,Slovenia,0.941719472408295,0.97692596912384,0.969209671020508,1.04520750045776,0.692796349525452,1.05691814422607
Slovenia,2012,99.6408,SVN,5.81,0.408049784,3.607866776,-0.029588848,8.9,54.0378,15.09070346,-6.6718545,-2.1465159,4.0769664,0.130768045,-0.90374059,Slovenia,0.832158982753754,1.018315076828,0.935110688209534,1.00906705856323,0.625475347042084,0.999778091907501
Slovenia,2013,101.01171,SVN,5.81,0.469864595,3.59959486,-0.008271917,10.1,70.808,15.46077594,-8.2020105,-8.6172879,4.3729591,0.631692475,0.37007248,Slovenia,0.722197890281677,1.00098669528961,0.882251679897308,0.994512796401978,0.624960362911224,1.00185775756836
Slovenia,2014,102.13017,SVN,3.27,0.654700842,3.626848453,0.027253593,9.7,81.0817,14.31724403,-6.6795124,-1.2221858,5.1193249,-0.017455834,-1.14353191,Slovenia,0.721584439277649,0.996188342571259,0.965773403644562,0.999711990356445,0.657770276069641,0.956069827079773
Slovenia,2015,100.0,SVN,1.71,0.614731482,3.650499527,0.023651074,9.0,83.3571,14.11387625,-5.4562566,0.4411609,4.8037754,-0.759625684,-0.20336778,Slovenia,0.737131714820862,0.936799585819244,0.947492003440857,0.945756256580353,0.609880983829498,0.986833035945892
Slovenia,2016,100.47323,SVN,1.15,0.28298024,3.680392542,0.029893015,8.0,79.3639,14.43400121,-3.5985741,1.0742716,3.3459742,0.6064113,0.32012496,Slovenia,0.784757494926453,1.08712339401245,0.979141891002655,1.05059957504272,0.627829551696777,1.01090347766876
Slovenia,2017,100.25269,SVN,0.96,0.250315978,3.730842078,0.050449536,6.6,74.8214,15.41460647,9.77e-05,2.5914312,3.0791208,-0.1412472,0.98060526,Slovenia,0.776858031749725,1.12923729419708,0.866365492343903,0.993279337882996,0.564625978469849,1.00673377513885
Slovenia,2018,102.00088,SVN,0.93,0.475043082,3.773701415,0.042859337,5.1,70.9295,15.83700743,2.3246433,2.9252499,3.6932686,0.4990081,0.42240096,Slovenia,0.835979223251343,1.08223867416382,0.89426726102829,1.02447843551636,0.642297327518463,0.970165312290192
Slovenia,2019,101.55208,SVN,0.28,0.55446831,3.808153378,0.034451963,4.4,65.9359,15.89523314,3.2999604,2.3114038,3.8631585,0.0685032,0.05822571,Slovenia,0.888419628143311,1.04178440570831,0.801585972309113,1.08500075340271,0.997022330760956,0.977372527122498
Slovenia,2020,101.96522,SVN,0.08,0.581158404,3.766445636,-0.041707742,5.0,80.1699,14.88725617,-3.1439214,-6.0961688,4.1366363,-0.4088181,-1.00797697,Slovenia,0.777402997016907,1.121173620224,0.701467931270599,1.03954863548279,0.91221022605896,0.932139754295349
